,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,Review
6,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,4/27/2017,8.4,Vienna Sporthotel,Bosnia and Herzegovina,0,556,34,1,7.9,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 1 night ']",98 days,48.191373,16.4082294,Clean and comfortable Helpful staff Good WiFi Good proximity to the International Bus Station and the U3 city transport line usage of fitness room and Sauna included in the price great amenities
15,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,11/23/2016,8.4,Vienna Sporthotel,Russia,0,556,39,28,10,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ']",253 day,48.191373,16.4082294,Breakfast was one of the best ever Pastry is incredible assortment huge Room was very comfortable and warm also clean no smells Interior and decorations on highest level Subway line is close Staff very helpful and nice
28,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,7/31/2017,8.4,Vienna Sporthotel,Czech Republic,0,556,7,6,10,"[' Leisure trip ', ' Family with young children ', ' Comfort Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3 days,48.191373,16.4082294,Very friendly and helpful staff Clean
33,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,4/25/2017,8.4,Vienna Sporthotel,Ireland,0,556,19,12,9.2,"[' Leisure trip ', ' Solo traveler ', ' Comfort Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",100 day,48.191373,16.4082294,The reception staff were outstanding but the staff in the breakfast restaurant need some customer service training
37,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,12/23/2016,8.4,Vienna Sporthotel,Hungary,0,556,8,1,7.5,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",223 day,48.191373,16.4082294,Location underground is close Wellness facilities
38,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,12/22/2016,8.4,Vienna Sporthotel,Ukraine,0,556,10,20,9.6,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",224 day,48.191373,16.4082294,Excellent breakfast bed staff fitness area WiFi speed design
42,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,10/13/2016,8.4,Vienna Sporthotel,Costa Rica,0,556,4,14,8.8,"[' Leisure trip ', ' Solo traveler ', ' Business King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",294 day,48.191373,16.4082294,Very nice facilities
43,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,9/23/2016,8.4,Vienna Sporthotel,United States of America,0,556,14,3,9.6,"[' Leisure trip ', ' Family with young children ', ' Special Offer Comfort Double Room with Breakfast and Parking Included ', ' Stayed 1 night ', ' Submitted from a mobile device ']",314 day,48.191373,16.4082294,The staff was very kind and helpful The room was very nice
44,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,9/19/2016,8.4,Vienna Sporthotel,Netherlands,0,556,24,40,8.3,"[' Leisure trip ', ' Solo traveler ', ' Comfort Single Room ', ' Stayed 4 nights ']",318 day,48.191373,16.4082294,Not in the center of Vienna but with metro that runs very often you are there in no time Good swimming pool
47,Baumgasse 83 03 Landstra e 1030 Vienna Austria,53,8/29/2016,8.4,Vienna Sporthotel,Austria,0,556,6,24,7.9,"[' Business trip ', ' Solo traveler ', ' Comfort Double Room ', ' Stayed 2 nights ']",339 day,48.191373,16.4082294,Easy to reach via subway
